[1218/151846.700:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/build/three.js (21172)
[1218/151847.556:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.572:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.572:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.837:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.839:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/billboard.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.839:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/billboard.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.862:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.870:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/tree_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.870:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/tree_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.898:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.898:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/tree_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.898:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/tree_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.926:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.928:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/tree_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.928:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/tree_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.944:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.944:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/store.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.944:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/store.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.978:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.981:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.981:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151847.995:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151847.995:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151847.995:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/building_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151848.051:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
